count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,ta_diff1,ta_diff2,age_avg,height_avg,weight_avg,bmi_avg,griffith_avg
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,0,0,20.0,10.0,1.0,0.9289324117611755,0.0,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,0,1,20.598999999999997,10.0,1.0,0.30106930418729594,0.5989999999999966,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,0,2,20.464000000000006,10.0,1.0,0.40557223195873504,-0.1349999999999909,0.46400000000000574,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,0,3,20.371999999999996,10.0,1.0,0.8758930428814748,-0.09200000000000941,-0.2270000000000003,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,1,0,20.5,10.0,1.0,0.06639626375258056,0.0,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,1,1,20.945,10.0,1.0,0.6927520861014059,0.4450000000000003,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,1,2,21.106,10.0,1.0,0.05877769479353767,0.16100000000000136,0.6060000000000016,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,1,3,20.844,10.0,1.0,1.1642503017071713,-0.26200000000000045,-0.10099999999999909,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,2,0,21.0,10.0,1.0,0.27220746830054227,0.0,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
10,1.0,0.25,1.0,0.1111111111111111,0.4,0.6,1.0,0.75,1.0,0.75,0.2857142857142857,1.0,0.14285714285714285,1.0,0.75,0.75,0.8,1.0,0.2,1.0,0.6,0.4,0.0,0.6666666666666666,1.0,2,1,21.531,10.0,1.0,0.7860717687275012,0.5309999999999988,0.0,23.1,176.0,67.0,21.551,1.2360000000000002
